targetId,comparatorId,outcomeId,outcomeName,type
784,793,432590,Delusional disorder,outcome
784,793,30441,Sialolithiasis,outcome
784,793,134765,Cachexia,outcome
784,793,81336,Rectal prolapse,outcome
784,793,4114197,Tumor of hypothalamus,outcome
784,793,436676,Posttraumatic stress disorder,outcome
784,793,4092565,Uterine prolapse,outcome
784,793,198202,Cystocele,outcome
784,793,195212,Hypercortisolism,outcome
784,793,316457,Mallory-Weiss syndrome,outcome
784,793,192606,Paraplegia,outcome
784,793,374655,Mastoiditis,outcome
784,793,436675,Anorexia nervosa,outcome
784,793,4001458,Fatigue fracture of vertebra,outcome
784,793,380395,Retinal dystrophy,outcome
784,793,197036,Vesicoureteric reflux,outcome
784,793,4299544,Acanthosis nigricans,outcome
784,793,376132,Ectropion,outcome
784,793,80509,Bone cyst,outcome
784,793,438407,Bulimia nervosa,outcome
784,793,4339088,Testicular mass,outcome
820,821,318800,Gastroesophageal reflux disease,outcome
820,821,133228,Dental caries,outcome
820,821,376707,Acute conjunctivitis,outcome
820,821,75576,Irritable bowel syndrome,outcome
820,821,435613,Cellulitis,outcome
820,821,378424,Astigmatism,outcome
820,821,139902,Allergic urticaria,outcome
820,821,380731,Otitis externa,outcome
820,821,141323,Acute maxillary sinusitis,outcome
820,821,4079750,Osteoarthritis of knee,outcome
820,821,4150372,Acute otitis media,outcome
820,821,440129,Hypertrophy of nasal turbinates,outcome
820,821,4215978,Onychomycosis,outcome
820,821,4164337,Polyp of large intestine,outcome
820,821,381581,Chalazion,outcome
820,821,4108467,Burn of skin,outcome
820,821,374366,Sensorineural hearing loss,outcome
820,821,439840,Lymphangitis,outcome
820,821,138463,Aphthous ulcer of mouth,outcome
820,821,81878,Benign paroxysmal positional vertigo,outcome
820,821,377910,Deviated nasal septum,outcome
820,821,134453,Bursitis,outcome
820,821,201792,Nongonococcal urethritis,outcome
820,821,194997,Prostatitis,outcome
820,821,373478,Presbyopia,outcome
820,821,4142905,Fracture of rib,outcome
820,821,444367,Cholelithiasis without obstruction,outcome
820,821,194696,Dysmenorrhea,outcome
820,821,4049417,Vesicular eczema,outcome
820,821,380094,Carpal tunnel syndrome,outcome
820,821,140168,Psoriasis,outcome
820,821,72418,Scoliosis deformity of spine,outcome
820,821,72576,Benign tumor of breast,outcome
820,821,4131595,Fracture of radius,outcome
820,821,199074,Acute pancreatitis,outcome
820,821,381444,Contusion of eye,outcome
820,821,4153877,Post-traumatic wound infection,outcome
820,821,73300,Radial styloid tenosynovitis,outcome
820,821,433527,Endometriosis (clinical),outcome
820,821,4028970,Tracheobronchitis,outcome
820,821,141933,Alopecia areata,outcome
820,821,74855,Genital herpes simplex,outcome
820,821,40443308,Polycystic ovary syndrome,outcome
820,821,261880,Atelectasis,outcome
820,821,433440,Dysthymia,outcome
820,821,4218106,Alcoholism,outcome
820,821,198075,Condyloma acuminatum of the anogenital region,outcome
820,821,261326,Viral pneumonia,outcome
820,821,140362,Hypoparathyroidism,outcome
820,821,437082,Ankylosing spondylitis,outcome
820,821,4288544,Inguinal hernia,outcome
820,821,4304008,Memory impairment,outcome
820,821,440814,Torticollis,outcome
820,821,253796,Pneumothorax,outcome
820,821,433450,Paranoid schizophrenia,outcome
820,821,4239381,Psychoactive substance abuse,outcome
820,821,4223947,"Viral hepatitis, type A",outcome
820,821,435093,Closed fracture of femur,outcome
820,821,4207307,Infective meningitis,outcome
820,821,432590,Delusional disorder,outcome
